year,doi,acmid,name,newName
1982,10.1145/800049.801810,81100628846,F. Glenn,Floyd Glenn
1988,10.1145/57167.57178,81100629786,S. Kovacevic,Srdjan N. Kovacevic
1988,10.1145/57167.57170,81100630234,D. Bodoff,David Bodoff
1989,10.1145/67449.67495,81100631648,D. Weimer,David Weimer
1982,10.1145/800049.801772,81100635107,K. Hirsh-Pasek,Kathryn Hirsh-Pasek
1988,10.1145/57167.57182,81100653613,J. Callahan,John Callahan
1989,10.1145/67449.67470,81100661766,P. Samuelson,Pamela Samuelson
1988,10.1145/57167.57211,81329489045,R. Guindon,Raymonde Guindon
1988,10.1145/57167.57199,81329489045,R. Guindon,Raymonde Guindon
1988,10.1145/57167.57211,81332495004,B. Curtis,Bill Curtis
1992,10.1145/142750.142897,81332498518,M. Fitter,Mike Fitter
1983,10.1145/800045.801625,81332501594,E. Grandjean,Etienne Grandjean
1983,10.1145/800045.801627,81332501670,J. Graham,Janice Graham
1989,10.1145/67449.67476,81332501956,M. Green,Mark Green
1986,10.1145/22627.22391,81332506545,M. Jakobsson,Matti Jakobsson
1990,10.1145/97243.97270,81332511392,C. Lee,Catherine Lee
1989,10.1145/67449.67521,81332511958,R. Lewis,Robert Lewis
1982,10.1145/800049.801744,81332516822,J. Morton,John Morton
1986,10.1145/22627.22347,81332518581,H. Nieper,Helga Nieper
1986,10.1145/22627.22371,81332518691,S. Nishida,Shogo Nishida
1986,10.1145/22627.22392,81332520467,G. Pearson,Glenn Pearson
1988,10.1145/57167.57169,81332520467,G. Pearson,Glenn Pearson
1986,10.1145/22627.22350,81332525689,C. Schafer,Chuck Schafer
1988,10.1145/57167.57210,81332528788,E. Soloway,Elliot Soloway
1986,10.1145/22627.22369,81332528788,E. Soloway,Elliot Soloway
1983,10.1145/800045.801627,81332529001,P. Smolensky,Paul Smolensky
1989,10.1145/67449.67457,81332537065,E. Yoder,Elise Yoder
1988,10.1145/57167.57186,81332537065,E. Yoder,Elise Yoder
1989,10.1145/67449.67451,81339512076,C. Lewis,Clayton Lewis
1988,10.1145/57167.57170,81339521887,E. Petajan,Eric Petajan
1986,10.1145/22627.22383,81339525705,M. Rudisill,Marianne Rudisill
1989,10.1145/67449.67521,81339525705,M. Rudisill,Marianne Rudisill
1986,10.1145/22627.22382,81339528004,M. Shaw,Mary Shaw
1988,10.1145/57167.57210,81342507437,J. Pinto,Jeannine Pinto
1989,10.1145/67449.67502,81406593839,J. Gould,John D. Gould
1989,10.1145/67449.67501,81408593399,A. Morch,Anders I. Morch
1989,10.1145/67449.67501,81409592298,G. Fischer,Gerhard Fischer
1989,10.1145/67449.67518,81409592298,G. Fischer,Gerhard Fischer
1990,10.1145/97243.97270,81409594757,T. Schiphorst,Thecla Schiphorst
1990,10.1145/97243.97270,81414615349,C. Welman,Chris Welman
1986,10.1145/22627.22390,81452616426,W. Buxton,William Buxton
1986,10.1145/22627.22390,81474653951,B. Myers,Brad A. Myers
2014,10.1145/2556288.2557236,81488646831,N. Kumarasamy,Nagalingeswaran Kumarasamy
1989,10.1145/67449.67482,81502733341,C. Ware,Colin Ware
1988,10.1145/57167.57214,81541660056,R. Harshman,Richard Harshman
1989,10.1145/67449.67520,81543694356,K. Yamaguchi,Koji Yamaguchi
1988,10.1145/57167.57173,81547156456,M. Ranney,Micael Ranney
1989,10.1145/67449.67506,99658950363,A. Wexelblat,Alan Wexelblat
1989,10.1145/67449.67520,99659108810,M. Fukui,Mika Fukui
1986,10.1145/22627.22347,99659389334,G. Fischer,Gerhard Fischer
1989,10.1145/67449.67484,99659531663,J. Raskin,Jef Raskin
1989,10.1145/67449.67491,99659548770,R. Rao,Ramana Rao
1989,10.1145/67449.67520,99659549427,Y. Takebayashi,Yoichi Takebayashi
1989,10.1145/67449.67520,99659549751,M. Doi,Miwako Doi
1989,10.1145/67449.67506,99659551217,K. Fairchild,Kim Fairchild
1989,10.1145/67449.67504,99659553538,A. Patrick,Andrew Patrick
1989,10.1145/67449.67458,99659874074,J. Sheffield,Jim Sheffield
1986,10.1145/22627.22392,99660043939,M. Weiser,Mark Weiser
