year,doi,acmid,name,affiliation,note
1992,10.1145/142750.143011,81310502502,Kimiya Yamaashi,"Hitachi Research Laboratory, Ibaraki-ken, Japan",
1992,10.1145/142750.143011,81100477214,Koichiro Tanikoshi,"Hitachi Research Laboratory, Ibaraki-ken, Japan",
1992,10.1145/142750.143011,81100381505,Masayasu Futakawa,"Hitachi Research Laboratory, Ibaraki-ken, Japan",
1992,10.1145/142750.143011,81392614044,Shinya Tanifuji,"Hitachi Research Laboratory, Ibaraki-ken, Japan",
1992,10.1145/142750.143052,81100128848,Scott Elrod,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81539499856,Richard Bruce,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81332501009,Rich Gold,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81410594782,David Goldberg,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81100332524,Frank Halasz,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81100599755,William Janssen,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81414592807,David Lee,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81100517815,Kim McCall,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,99659982251,Elin Pedersen,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81414606561,Ken Pier,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81405592014,John Tang,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143052,81546949056,Brent Welch,"Xerox PARC, Palo Alto, CA, USA",
1992,10.1145/142750.143053,81100041571,David Kurlander,"Columbia University, New York, NY, USA",
1992,10.1145/142750.143053,81100427474,Steven Feiner,"Columbia University, New York, NY, USA",
1992,10.1145/142750.143054,81100128783,Christopher Ahlberg,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143054,81332535487,Christopher Williamson,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143054,81100146468,Ben Shneiderman,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.143055,81100182411,Richard Mander,"Apple Computer Inc, Cupertino, CA, USA",
1992,10.1145/142750.143055,81408600569,Gitta Salomon,"Apple Computer Inc, Cupertino, CA, USA",
1992,10.1145/142750.143055,81332536390,Yin Yin Wong,"Apple Computer Inc, Cupertino, CA, USA",
1992,10.1145/142750.143058,81332526130,Jaclyn R. Schrier,"American Institutes for Research, Bedford, MA, USA",
1992,10.1145/142750.143058,81100005001,Evelyn L. Williams,"Hewlett-Packard Corporation, Fort Collins, CO, USA",
1992,10.1145/142750.143058,81100064047,Kevin S. MacDonell,"Apple Computer Inc, Cupertino, CA, USA",
1992,10.1145/142750.143058,81332520700,Larry A. Peterson,"US Army HEL, Aberdeen Proving Groups, MD, USA",
