year,doi,acmid,name,affiliation,note
1982,10.1145/800049.801744,81100469779,P. Barnard,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81100001026,N. Hammond,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81100609167,A. MacLean,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801744,81332516822,J. Morton,"MRC Applied Psychology Unit, Cambridge, England",
1982,10.1145/800049.801745,81100576470,John B. Black,"Department of Psychology, Yale University, New Haven, CT, USA",
1982,10.1145/800049.801745,81407594532,Thomas P. Moran,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801746,81332524216,Jarrett Rosenberg,"University of California, Berkeley, USA & Xerox Palo Alto Research Center, Palo Alto, USA",
1982,10.1145/800049.801747,81100519367,Dominique L. Scapin,"INRIA, La Chesnay, France",
1982,10.1145/800049.801748,81547030056,Kathleen Hemenway,"Stanford University, USA & Xerox Palo Alto, USA",
1982,10.1145/800049.801749,99659551044,Aaron Marcus,"University of California, Berkeley, USA",
1982,10.1145/800049.801750,81100551421,Steven L. Sauter,"University of Wisconsin, USA",
1982,10.1145/800049.801750,81100605567,Mark S. Gottlieb,"University of Wisconsin, USA",
1982,10.1145/800049.801750,81332507037,Karen C. Jones,"University of Wisconsin, USA",
1982,10.1145/800049.801751,81100570324,Ricky E. Savage,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801751,81100179472,James K. Habinek,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801751,81100422715,Thomas W. Barnhart,"IBM Systems, Rochester, MN, USA",
1982,10.1145/800049.801752,81100564710,Kevin F. Bury,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81100205555,James M. Boyle,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81547287656,R. James Evey,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801752,81100230875,Alan S. Neal,"IBM, GPD Human Factors Center, San Jose, CA, USA",
1982,10.1145/800049.801753,81100642297,Ralph E. Geiselman,"Perceptronics Inc., Woodland Hills, CA, USA",
1982,10.1145/800049.801753,81100138572,Michael G. Samet,"Perceptronics Inc., Woodland Hills, CA, USA",
1982,10.1145/800049.801754,81332528788,Elliot Soloway,"Yale University, USA",
1982,10.1145/800049.801754,81331492075,Kate Ehrlich,"Yale University, USA",
1982,10.1145/800049.801754,81100062334,Jeffrey Bonar,"University of Massachusetts, USA",
1982,10.1145/800049.801755,81544778556,Sundaresan Jayaraman,"North Carolina State University, USA",
1982,10.1145/800049.801755,81332511378,Mary Jane Lee,"North Carolina State University, USA",
1982,10.1145/800049.801755,81100615207,Milos Konopasek,"North Carolina State University, USA",
1982,10.1145/800049.801756,81100548740,Thomas W. Malone,"MIT Sloan School of Management, USA",
1982,10.1145/800049.801757,81332534562,Ronald Webb,"Department of Sociology, University of California, Berkeley, CA, USA",
1982,10.1145/800049.801758,81332538096,Elizabeth Zoltan,"John Hopkins University, Baltimore, Maryland, USA",
1982,10.1145/800049.801759,81100153616,Philip Kraft,"SUNY, Binghampton, USA",
1982,10.1145/800049.801759,81538804856,David Strauss,"Hunter College, USA",
1982,10.1145/800049.801760,81100185311,Richard E. Cordes,"IBM Corporation, Tucson, Arizona, USA",
1982,10.1145/800049.801761,81100472259,Eugene Ball,"Carnegie-Mellon Univ., Pittsburgh, PA, USA",
1982,10.1145/800049.801761,81384622109,Phil Hayes,"Carnegie-Mellon Univ., Pittsburgh, PA, USA",
1982,10.1145/800049.801762,81100066527,Murray Turoff,"New Jersey Institute of Technology, USA",
1982,10.1145/800049.801762,81452617202,Starr Roxanne Hiltz,"New Jersey Institute of Technology, USA",
1982,10.1145/800049.801762,81100007589,Elaine B. Kerr,"New Jersey Institute of Technology, USA",
1982,10.1145/800049.801763,81100097161,John Roach,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801763,81100488487,H. Rex Hartson,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801763,81100208352,Roger W. Ehrich,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801763,81100037099,Tamer Yunten,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801763,81100455702,Deborah H. Johnson,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801764,81100561272,Jo W. Tombaugh,"Carleton University, Ottawa, Canada",
1982,10.1145/800049.801764,81100501084,Scott A. McEwen,"Carleton University, Ottawa, Canada",
1982,10.1145/800049.801765,81100064781,Michael B. Feldman,"George Washington University, Washington, DC, USA",
1982,10.1145/800049.801765,81332524037,George T. Rogers,"George Washington University, Washington, DC, USA",
1982,10.1145/800049.801766,81100202261,A. F. Norcio,"University of Maryland, Baltimore County (UMBC), USA",
1982,10.1145/800049.801767,81332527177,Sylvia B. Sheppard,"General Electric Company, Arlington, Virginia, USA",
1982,10.1145/800049.801767,81100318743,Elizabeth Kruesi,"General Electric Company, Arlington, Virginia, USA",
1982,10.1145/800049.801767,99659503300,John W. Bailey,"General Electric Company, Arlington, Virginia, USA",
1982,10.1145/800049.801768,81413598301,Ruven Brooks,"University of California, Irvine, USA",
1982,10.1145/800049.801769,81100323120,David K. Goldstein,"Harvard University, USA",
1982,10.1145/800049.801770,81405592305,Teresa L. Roberts,"Xerox Systems Development Department, Palo Alto, CA, USA",
1982,10.1145/800049.801770,81407594532,Thomas P. Moran,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801771,81100090422,Michael Good,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1982,10.1145/800049.801772,81100156636,M. L. Schneider,"Sperry Univac, USA",
1982,10.1145/800049.801772,81332519070,S. Nudelman,"Sperry Univac, USA",
1982,10.1145/800049.801772,81100635107,K. Hirsh-Pasek,"Sperry Univac, USA",
1982,10.1145/800049.801773,81452616755,David W. Embley,"University of Nebraska, Lincoln, NE, USA",
1982,10.1145/800049.801773,81100382260,George Nagy,"University of Nebraska, Lincoln, NE, USA",
1982,10.1145/800049.801774,81100116595,Randall R. Harris,"Office Systems Research, BNR Inc., Mountain View, CA, USA",
1982,10.1145/800049.801775,81100626046,Beverly I. Kedzierski,"Kestrel Institure, Palo Alto, CA, USA & University of Southwestern Louisiana, Lafayette, LA, USA",
1982,10.1145/800049.801776,81351595566,Paul S. Licker,"University of Calgary, Canada",
1982,10.1145/800049.801777,99659411879,W. K. Epple,"Universitaet Karlsruhe, Germany",
1982,10.1145/800049.801777,81100383722,U. Rembold,"Universitaet Karlsruhe, Germany",
1982,10.1145/800049.801778,81332520856,Rohn J. Petersen,"EG&G Idaho Inc., USA",
1982,10.1145/800049.801778,81100462119,William W. Banks,"EG&G Idaho Inc., USA",
1982,10.1145/800049.801778,81100618483,David I. Gertman,"EG&G Idaho Inc., USA",
1982,10.1145/800049.801779,81406592524,Stuart K. Card,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801780,81100197096,Timothy E. Goldsmith,"New Mexico State Univ., Las Cruces, USA",
1982,10.1145/800049.801780,81100460403,Roger W. Schvaneveldt,"New Mexico State Univ., Las Cruces, USA",
1982,10.1145/800049.801781,81100304143,Leland Wilkinson,"University of Illinois, Chicago, USA",
1982,10.1145/800049.801782,81332495004,Bill Curtis,"ITT Programming Technology Center, Stratford, CT, USA",
1982,10.1145/800049.801783,81100268066,Dennis M. Irons,"Department of Psychology, Texas Christian University, Fort Worth, TX, USA",
1982,10.1145/800049.801784,81100029103,Gerrit E. DeYoung,"MCAUTO, USA",
1982,10.1145/800049.801784,81540505356,Garry R. Kampen,"Boeing Computer Services, USA",
1982,10.1145/800049.801784,81100394269,James M. Topolski,"St. Louis University, USA",
1982,10.1145/800049.801785,81100134470,Daniel G. McNicholl,"University of Missouri, Rolla, MO, USA",
1982,10.1145/800049.801785,81100592514,Ken Magel,"University of Missouri, Rolla, MO, USA",
1982,10.1145/800049.801786,81100320026,Adam V. Reed,"Bell Laboratories, Holmdel, NJ, USA",
1982,10.1145/800049.801787,81339524669,Joan M. Roemer,"IBM Corporation, Tucson, Arizona, USA",
1982,10.1145/800049.801787,81100163206,Alphonse Chapanis,"Department of Psychology, John Hopkins University, Baltimore, Maryland, USA",
1982,10.1145/800049.801788,99659411531,David M. Gilfoil,Exxon Office Systems Company,
1982,10.1145/800049.801789,81100649937,George W. Furnas,"Bell Laboratories, Murray Hill, NJ, USA",
1982,10.1145/800049.801789,81100403758,Louis M. Gomez,"Bell Laboratories, Murray Hill, NJ, USA",
1982,10.1145/800049.801789,81100552367,Thomas K. Landauer,"Bell Laboratories, Murray Hill, NJ, USA",
1982,10.1145/800049.801789,81100134501,Susan T. Dumais,"Bell Laboratories, Murray Hill, NJ, USA",
1982,10.1145/800049.801790,81100530503,David G. Hopelain,"California Institute of Technology, USA & University of Southern California, USA",
1982,10.1145/800049.801791,81332520560,David E. Peterson,"IBM Corporation, USA",
1982,10.1145/800049.801791,81100380865,J Howard Botterill,"IBM Corporation, USA",
1982,10.1145/800049.801792,81540276556,David Whitfield,"University of Aston, Birmingham, UK",
1982,10.1145/800049.801793,81100163994,Duncan C. Miller,"Bolt Beranek and Newman Inc., Cambridge, Massachusetts, USA",
1982,10.1145/800049.801794,81100619965,Harry M. Hersh,"Digital Equipment Corporation, USA",
1982,10.1145/800049.801795,81100579056,Panayotis Eric DeVaris,"Western Electric Company Inc, New York, NY, USA",
1982,10.1145/800049.801796,81100605196,Albert N. Badre,"Georgia Institute of Technology, USA",
1982,10.1145/800049.801797,81100302796,James D. Foley,"George Washington University, Washington, DC, USA",
1982,10.1145/800049.801798,81407594532,Thomas P. Moran,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801798,81406592524,Stuart K. Card,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801799,81100146468,Ben Shneiderman,"University of Maryland, College Park, MD, USA",
1982,10.1145/800049.801800,81100358037,Phyllis Reisner,"IBM Research Division, San Jose, CA, USA",
1982,10.1145/800049.801801,81100611930,Teresa Bleser,"George Washington University, Washington, DC, USA",
1982,10.1145/800049.801801,81100302796,James D. Foley,"George Washington University, Washington, DC, USA",
1982,10.1145/800049.801802,81100438120,Robert J. K. Jacob,"Naval Research Laboratory, Washington, D.C., USA",
1982,10.1145/800049.801803,99659553379,Sherman W. Tyler,"University of Pittsburgh, Pittsburgh, PA, USA",
1982,10.1145/800049.801803,81538060556,Steven Roth,"University of Pittsburgh, Pittsburgh, PA, USA",
1982,10.1145/800049.801803,81332521771,Timothy Post,"University of Pittsburgh, Pittsburgh, PA, USA",
1982,10.1145/800049.801804,81100410544,Lisa J. Folley,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801804,81100531429,Robert C. Williges,"Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",
1982,10.1145/800049.801805,81100541832,Donald J. Foss,"University of Texas at Austin, Austin, TX, USA",
1982,10.1145/800049.801805,81335496622,Mary Beth Rosson,"University of Texas at Austin, Austin, TX, USA",
1982,10.1145/800049.801805,81100553730,Penny L. Smith,"University of Texas at Austin, Austin, TX, USA",
1982,10.1145/800049.801806,81100209082,Dennis E. Egan,"Bell Laboratories, USA",
1982,10.1145/800049.801806,99659210840,Cheryll Bowers,"Spelman College, Atlanta, GA, USA",
1982,10.1145/800049.801806,81100403758,Louis M. Gomez,"Bell Laboratories, USA",
1982,10.1145/800049.801807,81332528468,Sidney L. Smith,"MITRE Corporation, Bedford, MA, USA",
1982,10.1145/800049.801808,81100607227,Daniel E. Hendricks,"US Army Human Engineering Laboratory, Aberdeen Proving Ground, Maryland, USA",
1982,10.1145/800049.801809,81100314036,Martin Maguire,"Graphics Centre, The University, Leicester, England, UK",
1982,10.1145/800049.801810,99659627210,W. Zachary,"Analytics Inc, Willow Grove, PA, USA",
1982,10.1145/800049.801810,81100250233,R. Wherry,"Analytics Inc, Willow Grove, PA, USA",
1982,10.1145/800049.801810,81100628846,F. Glenn,"Analytics Inc, Willow Grove, PA, USA",
1982,10.1145/800049.801810,81100332453,J. Hopson,"Naval Air Development Center, Warminster, PA, USA",
1982,10.1145/800049.801811,81100653961,Richard A. Bolt,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1982,10.1145/800049.801812,81100444749,Christopher Schmandt,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1982,10.1145/800049.801812,81100014122,Eric A. Hulteen,"Massachusetts Institute of Technology, Cambridge, MA, USA",
1982,10.1145/800049.801813,81406593839,John D. Gould,"IBM Research Center, Box 218, Yorktown Heights, New York",
1982,10.1145/800049.801813,81543477856,John Conti,"IBM Research Center, Box 218, Yorktown Heights, New York",
1982,10.1145/800049.801813,81100254783,Todd Hovanyecz,"IBM Research Center, Box 218, Yorktown Heights, New York",
1982,10.1145/800049.801814,81100274421,Sara Bly,"Lawrence Livermore National Laboratory, Livermore, CA, USA",
1982,10.1145/800049.801815,81100063003,Donald A. Norman,"University of California, San Diego, La Jolla, CA, USA",
1982,10.1145/800049.801816,81100332524,Frank Halasz,"Stanford University, Stanford, CA, USA",
1982,10.1145/800049.801816,81407594532,Thomas P. Moran,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1982,10.1145/800049.801817,81100349845,Clayton Lewis,"IBM T.J. Watson Research Center, Box 218, Yorktown Heights, New York, USA",
1982,10.1145/800049.801817,81100498306,Robert Mack,"IBM T.J. Watson Research Center, Box 218, Yorktown Heights, New York, USA",
1982,10.1145/800049.801818,81100035544,John Durrett,"Center for Automated Systems in Education, San Marcos, TX, USA",
1982,10.1145/800049.801818,81100267024,Theron Stimmel,"Center for Automated Systems in Education, San Marcos, TX, USA",
1983,10.1145/800045.801608,99659393639,James A. Hendler,"Brown University, Providence, RI, USA",
1986,10.1145/22627.22347,81100129488,H. D. Bocker,"University of Colordado, Boulder, CO, USA",
1986,10.1145/22627.22347,99659389334,G. Fischer,"University of Colordado, Boulder, CO, USA",
1986,10.1145/22627.22347,81332518581,H. Nieper,"University of Colordado, Boulder, CO, USA",
1986,10.1145/22627.22363,81100375112,B. S. Kimerer,missing,
1986,10.1145/22627.22394,81100146468,B. Shneiderman,"University of Maryland, College Park, Maryland, USA",
1987,10.1145/29933.30870,81100633564,Lucy Suchman,"Xerox Palo Alto Research Center, Palo Alto, CA, USA",
1987,10.1145/29933.30870,81100118673,William Beeman,"Brown University, Providence, RI, USA",
1987,10.1145/29933.30870,81332520488,Michael Pear,"Brown University, Providence, RI, USA",
1987,10.1145/29933.30870,81339499887,Barbara Fox,"University of Colorado, USA",
1987,10.1145/29933.30870,81100169537,Paul Smolensky,"University of Colorado, USA",
1989,10.1145/67449.67471,81100603693,B. Laurel,"Consultant, USA",
1990,10.1145/97243.97269,81546244156,C. Torben Thomsen,"California State University, Fresno, USA"," ""Via https://dblp.org/pid/74/2403.html"""
1990,10.1145/97243.97299,81100315825,Mary Elwart-Keys,"Electronic Data Systems, Ann Arborm MI, USA",Was also at EDS per https://www.linkedin.com/in/mary-elwart-keys-79a881213/
1990,10.1145/97243.97299,81100208950,David Halonen,"Electronic Data Systems, Ann Arborm MI, USA",From https://dl.acm.org/doi/pdf/10.1145/91474.91508
1990,10.1145/97243.97299,81332504847,Marjorie Horton,"Electronic Data Systems, Ann Arborm MI, USA",From https://dl.acm.org/doi/pdf/10.1145/91474.91508
1990,10.1145/97243.97299,81100214958,Robert Kass,"Electronic Data Systems, Ann Arborm MI, USA",From https://dl.acm.org/doi/pdf/10.1145/91474.91508
1990,10.1145/97243.97299,81100544334,Paul Scott,"University of Essex, Colchester, UK",From https://dl.acm.org/doi/pdf/10.1145/91474.91508
1991,10.1145/108844.108944,81100318557,Steve Whittaker,"Hewlett Packard Labs, Bristol, UK",Per https://dl.acm.org/profile/81100318557/publications?Role=author&AfterYear=1988&BeforeYear=1993&queryID=34/5749178426
1991,10.1145/108844.108944,81100612361,Susan E. Brennan,"Department of Psychology, State University of New York at Stony Brook, USA",Per http://www.psychology.stonybrook.edu/sbrennan-/
1991,10.1145/108844.108944,99659857663,Herbert H. Clark,"Stanford University, USA",Per https://en.wikipedia.org/wiki/Herbert_H._Clark#Professional_positions
1991,10.1145/108844.108959,81100604755,S. Joy Mountford,"Apple Computer, Cupertino, USA",Per https://dl.acm.org/doi/pdf/10.1145/142750.142796
1991,10.1145/108844.108959,81100046393,Dominic Milano,missing,
1991,10.1145/108844.108959,81332516190,Peter Mitchell,"Big Animated Digital Productions, Melbourne, Australia",Per https://dl.acm.org/doi/pdf/10.1145/142750.142796
1991,10.1145/108844.108959,81332527628,Thecla Shiphorst,missing,
1991,10.1145/108844.108959,81100030202,Paul Zimmerman,missing,
1991,10.1145/108844.108969,81100661766,Pamela Samuelson,missing,
1991,10.1145/108844.108969,81100393677,Anthony L. Clapes,missing,
1991,10.1145/108844.108969,81309491787,Michael Jacobs,missing,
1991,10.1145/108844.108969,81100556662,Michael Lesk,missing,
1991,10.1145/108844.108969,81100610874,Bruce Warren,missing,
1992,10.1145/142750.142751,81100454370,William C. Hill,"Computer Graphics and Interactive Media Research Group, Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142751,81332504463,James D. Hollan,"Computer Graphics and Interactive Media Research Group, Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142751,81100170929,Dave Wroblewski,"US West Advanced Technologies, Boulder, CO, USA",
1992,10.1145/142750.142751,81100606774,Tim McCandless,"US West Advanced Technologies, Boulder, CO, USA",
1992,10.1145/142750.142752,81100026648,W. Randall Koons,"Interactive Media Project, IBM Watson Research Center, Yorktown Heights, New York USA",
1992,10.1145/142750.142752,81332518777,Anne M. O'Dell,"Interactive Media Project, IBM Watson Research Center, Yorktown Heights, New York USA",
1992,10.1145/142750.142752,81100504042,Nancy J. Frishberg,"Interactive Media Project, IBM Watson Research Center, Yorktown Heights, New York USA",
1992,10.1145/142750.142752,81100347998,Mark R. Laff,"Interactive Media Project, IBM Watson Research Center, Yorktown Heights, New York USA",
1992,10.1145/142750.142753,81100330509,Barbee T. Mynatt,"Bowling Green State University, Bowling Green, OH, USA",
1992,10.1145/142750.142753,81100373608,Laura Marie Leventhal,"Bowling Green State University, Bowling Green, OH, USA",
1992,10.1145/142750.142753,81100348970,Keith Instone,"Bowling Green State University, Bowling Green, OH, USA",
1992,10.1145/142750.142753,81100366186,John Farhat,"Bowling Green State University, Bowling Green, OH, USA",
1992,10.1145/142750.142753,81100088586,Diane S. Rohlman,"Bowling Green State University, Bowling Green, OH, USA",
1992,10.1145/142750.142754,81100104022,William Gaver,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81407594532,Thomas Moran,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81100609167,Allan MacLean,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81100648756,Lennart Lövstrand,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81100521529,Paul Dourish,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81100562363,Kathleen Carter,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142754,81452616426,William Buxton,"Rank Xerox Cambridge EuroPARC, Cambridge, UK",
1992,10.1145/142750.142755,81332498460,Robert S. Fish,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142755,81328489038,Robert E. Kraut,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142755,81100201167,Robert W. Root,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142755,81100249991,Ronald E. Rice,"Rutgers University, New Brunswick, NJ, USA",
1992,10.1145/142750.142756,81100309669,Abigail J. Sellen,"University of Toronto, Canada",
1992,10.1145/142750.142760,81392603419,Abbe Don,"In Context, San Francisco, CA, USA",
1992,10.1145/142750.142760,81100612361,Susan Brennan,"State University of New York at Stony Brook, USA",
1992,10.1145/142750.142760,81100603693,Brenda Laurel,"Telepresence Research, USA",
1992,10.1145/142750.142760,81100146468,Ben Shneiderman,"University of Maryland, USA",
1992,10.1145/142750.142761,99660717081,Matthew D. Russell,"TAO Research Corporation, Fremont, CA, USA",
1992,10.1145/142750.142761,81100196045,Howard Xu,"TAO Research Corporation, Fremont, CA, USA",
1992,10.1145/142750.142761,81332534094,Lingtao Wang,"TAO Research Corporation, Fremont, CA, USA",
1992,10.1145/142750.142762,81407591765,James R. Osborn,"University of California at Berkeley, Berkeley, CA, USA",
1992,10.1145/142750.142762,81100352441,Alice M. Agogino,"University of California at Berkeley, Berkeley, CA, USA",
1992,10.1145/142750.142763,81332525628,Manojit Sarkar,"Brown University, Providence, RI, USA",
1992,10.1145/142750.142763,81332491195,Marc H. Brown,"Digital Equipment Corporation, Palo Alto, CA, USA",
1992,10.1145/142750.142764,81406595978,Michael Mills,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142764,81100146889,Jonathan Cohen,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142764,81332536390,Yin Yin Wong,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142765,81100529796,John Satzinger,"University of Georgia, Athens, GA, USA",
1992,10.1145/142750.142765,81100355524,Lorne Olfman,"Claremont Graduate School, Claremont, CA, USA",
1992,10.1145/142750.142767,81100472609,Michelle Gantt,"Hewlett-Packard Laboratories, Palo Alto, CA",
1992,10.1145/142750.142767,81100150025,Bonnie A. Nardi,"Hewlett-Packard Laboratories, Palo Alto, CA",
1992,10.1145/142750.142769,81332504463,Jim Hollan,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142769,81100244951,Scott Stornetta,"Bellcore, Morristown, NJ, USA",
1992,10.1145/142750.142770,81100032930,James A. Ballas,"Naval Research Laboratory, Washington, D.C., USA",
1992,10.1145/142750.142770,81100276673,Constance L. Heitmeyer,"Naval Research Laboratory, Washington, D.C., USA",
1992,10.1145/142750.142770,81100175306,Manuel A. Pérez-Quiñones,"Naval Research Laboratory, Washington, D.C., USA",
1992,10.1145/142750.142772,81100628723,Stephanie Houde,"Apple Computer, Cupertino, CA, USA",
1992,10.1145/142750.142775,81406596447,William W. McMillan,"Eastern Michigan University, Ypsilanti, MI, USA",
1992,10.1145/142750.142777,81100289997,Robert M. Mulligan,"AT&T Bell Laboratories, Holmdel, NJ, USA",
1992,10.1145/142750.142777,81100228995,Mary Dieli,"Microsoft, USA",
1992,10.1145/142750.142777,81339520181,Jakob Nielsen,"Bellcore, USA",
1992,10.1145/142750.142777,81100102525,Steven Poltrock,"Boeing Computer Services, USA",
1992,10.1145/142750.142777,81100491346,Daniel Rosenberg,"Borland International, USA",
1992,10.1145/142750.142777,81332524968,Susan Erlich Rudman,"US West Advanced Technologies Inc, USA",
1992,10.1145/142750.142778,81100340093,David L. Maulsby,"University of Calgary, Canada",
1992,10.1145/142750.142780,81100369308,Sharon R. Garber,"3M Company, St. Paul, MN, USA",
1992,10.1145/142750.142780,81100201706,Mitch B. Grunes,"3M Company, St. Paul, MN, USA",
1992,10.1145/142750.142782,81100174035,Virginia A. Peck,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142782,81100482886,Bonnie E. John,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142785,81100397563,H. Ulrich Hoppe,"GMD-IPSI, Darmstadt, Germany",
1992,10.1145/142750.142785,81100189805,Franz Schiele,"GMD-IPSI, Darmstadt, Germany",
1992,10.1145/142750.142786,81100003076,Jonas Löwgren,"Linköping University, Linköping, Sweden",
1992,10.1145/142750.142786,81100375374,Tommy Nordqvist,"National Defense Research Est. (FOA 531), Linköping, Sweden",
1992,10.1145/142750.142787,81100491866,Daniel F. Gieskens,"Delft University of Technology, Delft, Netherlands",
1992,10.1145/142750.142787,81100302796,James D. Foley,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.142789,81100013136,Brad A. Myers,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142789,81335496622,Mary Beth Rosson,"IBM T.J. Watson Research Center, Yorktown Heights, NY",
1992,10.1145/142750.142791,81100446762,Colin Ware,"University of New Brunswick, Fredericton, Canada",
1992,10.1145/142750.142791,81100206698,William Knight,"University of New Brunswick, Fredericton, Canada",
1992,10.1145/142750.142792,81100438120,Robert J. K. Jacob,"Naval Research Laboratory, Washington, D.C., USA",
1992,10.1145/142750.142792,81100481248,Linda E. Sibert,"Naval Research Laboratory, Washington, D.C., USA",
1992,10.1145/142750.142794,81100367406,I. Scott MacKenzie,"University of Guelph, Guelph, Canada",
1992,10.1145/142750.142794,81452616426,William Buxton,"University of Toronto, Canada",
1992,10.1145/142750.142798,81100008852,Martha R. Szczur,"NASA Goddard Space Fight Center, Greenbelt, MD, USA",
1992,10.1145/142750.142800,81100594492,E. Nygren,"Uppsala University, Uppsala, Sweden",
1992,10.1145/142750.142800,81100540194,M. Lind,"Uppsala University, Uppsala, Sweden",
1992,10.1145/142750.142800,81332507018,M. Johnson,"Uppsala University, Uppsala, Sweden",
1992,10.1145/142750.142800,81100282336,B. Sandblad,"Uppsala University, Uppsala, Sweden",
1992,10.1145/142750.142803,81100005173,Muneo Kitajima,"Industrial Products Research Institute, Tsukuva Ibaraki, Japan",
1992,10.1145/142750.142803,81100564360,Peter G. Polson,"University of Colorado, Boulder, CO, USA",
1992,10.1145/142750.142805,81100482886,Bonnie E. John,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142805,81100219909,Alonso H. Vera,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142806,99659851500,Dennis J. M. J. de Baar,"Delft University of Technology, Delft, Netherlands",
1992,10.1145/142750.142806,81100302796,James D. Foley,"Georgia Tech, Atlanta, GA, USA",
1992,10.1145/142750.142806,81100325096,Kevin E. Mullet,"SunSoft Inc., Mountain View, CA, USA",
1992,10.1145/142750.142808,81410595121,Dan R. Olsen,"Brigham Young University, Computer Science Department, Provo, UT, USA",
1992,10.1145/142750.142808,81392595618,Thomas G. McNeill,"Brigham Young University, Computer Science Department, Provo, UT, USA",
1992,10.1145/142750.142808,81414606601,David C. Mitchell,"Brigham Young University, Computer Science Department, Provo, UT, USA",
1992,10.1145/142750.142810,81100452161,Jeff Johnson,"Hewlett-Packard Laboratories, Palo Alto, CA, USA",
1992,10.1145/142750.142816,81100173620,Maddy D. Brouwer-Janse,"Philipps Research Laboratories, Eindhoven, Netherlands",
1992,10.1145/142750.142816,81100291481,Raymond W. Bennett,"AT&T Bell Laboratories, USA",
1992,10.1145/142750.142816,99659418888,Takaya Endo,"NTT, Human & Multimedia Lab, Japan",
1992,10.1145/142750.142816,81100310450,Floris L. van Nes,"Philipps Research Laboratories, Netherlands",
1992,10.1145/142750.142816,99659400757,Hugo J. Strubbe,"Philipps Research Laboratories, US, USA",
1992,10.1145/142750.142816,81100045316,Donald R. Gentner,"Apple Computer Inc, USA",
1992,10.1145/142750.142817,81100327060,Richard Chimera,"University of Maryland, College Park, MD, USA",
1992,10.1145/142750.142818,81100604907,Steven L. Teal,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142818,81100553496,Alexander I. Rudnicky,"Carnegie Mellon University, Pittsburgh, PA, USA",
1992,10.1145/142750.142821,81100400779,Wayne D. Gray,"NYNEX Science & Technology Center, USA",
1992,10.1145/142750.142821,81100482886,Bonnie E. John,"Carnegie Mellon University, USA",
1992,10.1145/142750.142821,81100571618,Michael E. Atwood,"NYNEX Science & Technology Center, USA",
