acmid,orcid
81100559491,0000-0003-0204-881X
81100432875,0000-0001-5340-8518
81343491309,0000-0002-8939-264X
81350605248,0000-0001-5819-8302
89758949457,0000-0001-9359-7122
81502658789,0000-0001-7902-3907
81310491267,0000-0003-4051-3356
81502803064,0000-0001-6038-5959
81502783830,0000-0001-9689-9767
81484646781,0000-0002-1392-5737
81486656510,0000-0002-6119-705X
81316491129,0000-0002-0976-9065
81324494027,0000-0002-1059-6704
81371592633,0000-0002-7333-981X
99659489828,0000-0001-8613-3477
81350574049,0000-0002-5702-6290
81416594384,0000-0002-8176-7638
81500642496,0000-0003-1237-7545
81388595547,0000-0002-1119-3237
81452595774,0000-0001-8086-0366
81502746220,0000-0002-9009-5706
81481649423,0000-0001-5583-4430
81372593219,0000-0001-6317-7303
81320490169,0000-0003-2085-193X
81350583575,0000-0001-7897-9325
81317496784,0000-0002-1888-1569
81548910156,0000-0003-4306-8825
81557677456,0000-0002-3656-7936
81456623584,0000-0003-3486-8943
81435602390,0000-0001-9421-1199
81488669445,0000-0003-4414-2249
81484643096,0000-0003-2004-4812
81319495312,0000-0003-4342-7082
81556713956,0000-0001-8666-8527
81328489919,0000-0002-4009-1627
81558104856,0000-0003-4120-4758
81488650470,0000-0002-0117-0322
81442617361,0000-0003-0664-570X
81309493252,0000-0002-4194-1101
99659887025,0000-0002-7106-164X
81500663321,0000-0001-5564-635X
81416606592,0000-0003-4832-8024
99659022414,0000-0001-5268-3331
81498653663,0000-0003-3253-3963
81556617856,0000-0003-1237-5814
81100550581,0000-0002-4634-0532
81316490681,0000-0002-3187-5534
81343507895,0000-0002-7631-6445
81100643653,0000-0002-5094-5294
81460652295,0000-0002-6059-0829
81503651895,0000-0003-1421-3544
81498646640,0000-0003-2733-2681
81474642862,0000-0001-9498-5362
81550272556,0000-0002-9485-276X
81482661013,0000-0002-9201-7744
81549531656,0000-0002-7893-6090
81455605722,0000-0001-6740-4921
81548004671,0000-0002-8055-8367
81467660483,0000-0003-2591-7993
81350584067,0000-0003-4318-6717
81100351241,0000-0002-5085-9724
81556575456,0000-0003-4922-6601
81556858356,0000-0002-2362-7717
81548005965,0000-0002-4409-9255
81548037192,0000-0001-6152-8034
81552280656,0000-0003-2819-1083
81557182156,0000-0001-6527-7084
81331499667,0000-0002-6303-5791
81557875156,0000-0002-8738-8540
81100480604,0000-0002-5889-1083
81484656227,0000-0002-1980-1292
81500648029,0000-0002-4666-1926
81100401804,0000-0002-2941-339X
81100096023,0000-0002-4426-1320
81502757149,0000-0001-9980-0670
81558575156,0000-0001-5042-6198
81435599709,0000-0003-3029-2799
81318491531,0000-0001-8431-0601
87958754557,0000-0002-0358-1555
87958771157,0000-0003-3814-7174
81485645929,0000-0002-2724-1379
81100125366,0000-0002-7212-4622
99659118545,0000-0002-9780-1116
86158741357,0000-0002-5931-3218
81549578156,0000-0001-6466-0663
81100146006,0000-0002-2122-8077
81440622806,0000-0001-6930-5468
87959323457,0000-0002-4578-4545
81488667918,0000-0002-4695-6417
81319487778,0000-0002-1109-9689
81558156356,0000-0002-0809-9696
81430642614,0000-0003-2460-0468
81548024188,0000-0003-1039-7155
87958798457,0000-0002-3257-2527
87958662957,0000-0002-5484-6066
87958760357,0000-0001-6552-4540
81549460056,0000-0003-0076-6703
81548363756,0000-0002-5815-8236
87258776157,0000-0002-8844-8576
81100481887,0000-0003-4142-8444
81343499217,0000-0002-8780-6087
81100423171,0000-0002-0310-2577
81490645252,0000-0001-9504-5217
81442615955,0000-0002-6792-3390
81484657437,0000-0001-8219-8126
81503680798,0000-0002-0132-4934
81472653974,0000-0001-6180-7033
87958668557,0000-0003-1755-7780
87959289757,0000-0002-2859-7297
81467668347,0000-0002-5351-4035
81549308756,0000-0001-8923-0803
81100100877,0000-0002-6383-7786
81484656800,0000-0003-1775-213X
87958687957,0000-0003-4491-8043
81502753265,0000-0003-0835-5802
81350573788,0000-0002-0333-5792
81467649970,0000-0002-0952-8368
81502788966,0000-0001-5359-6520
81309489973,0000-0001-7049-1173
81456635725,0000-0001-6215-8768
81549216656,0000-0003-0561-2148
81331502255,0000-0001-8639-5135
81414598364,0000-0003-3326-2907
81490648565,0000-0002-4249-8893
81472651606,0000-0003-3686-695X
83058740657,0000-0003-0469-8760
81554259456,0000-0001-6135-410X
81502686136,0000-0003-2452-0687
87958813457,0000-0002-7715-1742
99659428894,0000-0002-2439-2462
82258949157,0000-0003-1607-0778
81456613170,0000-0003-1991-6062
87958634757,0000-0002-7332-3287
81472645021,0000-0003-4711-7268
81100595059,0000-0001-7917-932X
87959397157,0000-0002-8915-481X
83458899257,0000-0002-2657-6345
81555914056,0000-0001-5381-0187
99658655780,0000-0003-4020-6321
81443597718,0000-0001-6101-6100
81387598695,0000-0002-8046-0538
82658918057,0000-0001-5178-3496
81474703745,0000-0001-5693-3326
99658640424,0000-0001-9462-9835
84458824857,0000-0002-0284-726X
81458642842,0000-0001-9674-8440
84459213457,0000-0002-1920-1625
99658703835,0000-0002-1523-3347
81472653475,0000-0003-1621-5375
82659024557,0000-0002-0013-715X
99658696163,0000-0002-9427-2861
99658704936,0000-0002-1497-5808
81332511159,0000-0002-9007-514X
99659025067,0000-0002-5561-0493
99658696166,0000-0002-1387-8168
99658704911,0000-0003-2657-0485
87959418257,0000-0003-0279-5276
81548034272,0000-0002-2367-162X
83458801557,0000-0002-6466-3845
81555999956,0000-0002-2749-4835
81331499170,0000-0002-4231-4142
99658696530,0000-0001-5462-8782
99658705436,0000-0003-1085-6294
81508708476,0000-0001-9598-2753
99658689004,0000-0002-8037-6301
99658701264,0000-0003-4899-6671
99659562550,0000-0003-2540-0839
81387593973,0000-0003-2007-4018
81385592390,0000-0002-4191-3565
99658688286,0000-0002-0810-4619
81442594051,0000-0002-8333-5687
81552730756,0000-0002-8096-658X
99658707580,0000-0002-4816-3162
99658637823,0000-0001-7720-2848
81490690490,0000-0002-0455-7936
81309502140,0000-0003-2152-1027
83458903457,0000-0002-6189-6539
